business_id,total_review_count,fake_review_count,real_review_count,avg_stars,adj_avg_stars,fake_review_pct,stars_delta,metro,name,state,zipcode,categories
--FWWsIwxRwuw9vIMImcQg,8,1,7,3.25,3.0,0.12,0.25,Nashville,Blue River Canyon Day Spa & Store,TN,37027,"Day Spas, Beauty & Spas"
--a_r_w1HTsOY-fagPeNKg,10,0,10,3.9,3.9,0.0,0.0,Indianapolis,Binford Farmers Market,IN,46220,"Farmers Market, Food"
--hF_3v1JmU9nlu4zfXJ8Q,15,0,15,4.73,4.73,0.0,0.0,Indianapolis,Green District Salads - Monument Circle,IN,46204,"Vegetarian, Restaurants, Wraps, Salad"
--lqIzK-ZVTtgwiQM63XgQ,16,3,13,1.94,2.08,0.19,-0.14000000000000012,Indianapolis,Wendy's,IN,46250,"Burgers, Fast Food, Restaurants"
-0YvX6VK5S0u_hbQFYq10g,10,4,6,4.6,4.33,0.4,0.2699999999999996,Nashville,European Motorworks,TN,37122,"Auto Repair, Auto Parts & Supplies, Automotive"
-0gWtMKg8_iV6vC5wRFDiA,14,2,12,3.21,3.58,0.14,-0.3700000000000001,Indianapolis,McQ's Pub & Eatery,IN,46227,"Restaurants, Nightlife, Bars, Pubs"
-0m4IwD1FIOqkA8dh4mVfQ,39,14,25,1.92,1.88,0.36,0.040000000000000036,Nashville,Chipotle Mexican Grill,TN,37089,"Mexican, Fast Food, Restaurants"
-1EGqUQFBmGEp76CE-Zk4Q,37,3,34,3.43,3.29,0.08,0.14000000000000012,Nashville,Victor's Taco Shop,TN,37221,"Restaurants, Mexican, Tacos"
-1PG6k_iezwJmRZLB7f6og,168,11,157,3.8,3.82,0.07,-0.020000000000000018,Indianapolis,The Lemon Bar,IN,46077,"Food, Cocktail Bars, American (New), Restaurants, Bars, Nightlife, Desserts"
-1b7CQbbl_3uotcTsxhHsw,7,0,7,4.43,4.43,0.0,0.0,Indianapolis,Moody's Butcher Shop,IN,46077,"Specialty Food, Meat Shops, Food, Butcher"
-1owBLC2h6DF5n_j77oq3g,7,1,6,1.29,1.33,0.14,-0.040000000000000036,Nashville,Hardee's,TN,37122,"Breakfast & Brunch, Restaurants, Burgers, Chicken Wings, Fast Food"
-1q9ktAQXpgFSNrst7tzag,43,4,39,3.88,4.0,0.09,-0.1200000000000001,Indianapolis,Spice Box,IN,46204,"Street Vendors, Indian, Fast Food, Vegan, Restaurants, Food, Food Trucks"
-24TYSeA5yK8oH7hfJkZ0g,65,22,43,2.58,3.07,0.34,-0.48999999999999977,Nashville,Planet Fitness,TN,37209,"Fitness & Instruction, Active Life, Gyms, Tanning, Beauty & Spas, Trainers"
-2Axhv9AZ_n7qjQefECpVw,21,2,19,3.43,3.37,0.1,0.06000000000000005,Nashville,Greek Sotir Grill,TN,37138,"Greek, Mediterranean, Restaurants, American (Traditional)"
-2UbmgSYMlg88sU7cUWGAQ,7,4,3,3.71,3.67,0.57,0.040000000000000036,Nashville,Tru Roots Chiropractic,TN,37122,"Diagnostic Imaging, Education, Health & Medical, Educational Services, Chiropractors, Diagnostic Services"
-2VYztMXVorktljCdQNPmQ,154,41,113,3.98,4.03,0.27,-0.050000000000000266,Indianapolis,Mumbai Grill,IN,46143,"Restaurants, Food, Indian, Pakistani, Butcher, Halal"
-2WAq2pOLnc4__lPy6kvoQ,17,1,16,4.88,4.88,0.06,0.0,Nashville,Oh My Chives Natural Market,TN,37135,"Food, Restaurants, Health Markets, Sandwiches, Specialty Food, Organic Stores"
-2bLM6nIETD4Mk-rhjIYZQ,8,1,7,5.0,5.0,0.12,0.0,Indianapolis,My Dad's Sweet Corn,IN,46204,"Farmers Market, Food"
-2ke_JDOpgTZWqirMFjZcw,18,4,14,3.56,3.93,0.22,-0.3700000000000001,Indianapolis,Nite Owls Saloon & Grill,IN,46107,"Karaoke, American (Traditional), Restaurants, Nightlife, Bars, Sports Bars"
-2mctVTqFR5-DDCXKvMNPA,6,1,5,3.17,2.8,0.17,0.3700000000000001,Indianapolis,Great Clips,IN,46220,"Barbers, Beauty & Spas, Hair Salons"
